Drug	DILI.severity.category	log10.cmax	Spher	BSEP	THP1	Glu	Gal	Glu.Gal	ClogP	dili.sev	BA	cols
Liothyronine	5	-1.9684629228285	46.61	81.7	176.82	250	250	1	2.6	1	-1	green4
Mecamylamine	5	-0.849088282353774	250	125.9	250	250	250	1	2.8	1	-1	green4
Meclofenamate	4	1.90888190889341	80.04	77.2	202.4	250	158	1.6	6.4	1	-1	green4
Metergoline	5	-1.15731332435065	3.55	42.4	236.22	133.8	79.1	1.7	4.7	1	-1	green4
Methotrexate	1	0.698549306036893	250	1000	1.71	19.4	76.6	0.3	-0.5	3	1	firebrick
Nadolol	4	-0.0925817056188607	250	1000	115.59	250	250	1	0.4	1	-1	green4
Naproxen	2	2.51284276304655	250	375.4	211.13	250	250	1	-0.4	2	1	darkgoldenrod
Nefazodone	1	0.628925680196862	19.68	4.3	250	132.5	25.4	5.2	5.7	3	1	firebrick
Neostigmine	5	-1.34886927364161	250	1000	250	250	250	1	-2.8	1	-1	green4
Nicardipine	4	-1.08975117676959	16.32	6.4	4.41	246.8	104.3	2.4	5.2	1	-1	green4
Nifedipine	3	-0.539490113368221	91.87	52.2	88.99	250	130.8	1.9	3.1	2	1	darkgoldenrod
Nimesulide	2	1.3239257454599	77.25	238.1	79.06	250	214.6	1.2	3.2	2	1	darkgoldenrod
Nitrofurantoin	2	1.3221011826303	30.08	1000	11.3	244.5	98.4	2.5	-0.5	2	1	darkgoldenrod
Olanzapine	3	-1.19372273459313	125.88	115.4	111.72	250	250	1	3	2	1	darkgoldenrod
Orphenadrine	5	-0.129351474389129	132.71	1000	250	250	250	1	3.9	1	-1	green4
Oxybutynin	5	-1.6501739175269	24.14	86.2	250	25	44.9	0.6	4.9	1	1	green4
Pargyline	4	0.0021005513797051	145.79	1000	250	250	250	1	2.6	1	-1	green4
Paroxetine	2	-0.698970004336019	10.9	402.3	11.49	15.1	20.3	0.7	4.2	2	1	darkgoldenrod
Perhexiline	1	0.334903913514052	7.21	155.3	36.34	11.8	8.6	1.4	7.2	3	1	firebrick
Phenoxybenzamine	5	-0.704479403921705	65.01	183.1	250	190.4	141.3	1.3	4.9	1	-1	green4
Pimozide	3	-0.958607314841775	2.04	67.2	61.48	42.5	19	2.2	6.4	2	-1	darkgoldenrod
Pioglitazone	3	0.469204088149981	250	0.3	0.14	250	250	1	3.5	2	1	darkgoldenrod
Procyclidine	5	0.340793345261787	105.45	1000	250	240.1	250	1	4.6	1	-1	green4
Propantheline	5	-0.356910691751779	250	1000	250	250	250	1	1.5	1	-1	green4
Pyridostigmine 	5	0.0428478352051398	250	1000	250	250	250	1	-4.3	1	-1	green4
Rimonabant	5	-0.374687549038326	14.37	10.5	85.22	157.7	58.9	2.7	6.5	1	1	green4
Rosiglitazone	2	0.0185214733750742	45.21	6.4	3.46	250	246.6	1	3	2	1	darkgoldenrod
Simvastatin	2	-1.62176808940946	20.03	16.6	6.09	117.7	101.8	1.2	4.5	2	1	darkgoldenrod
Sitaxsentan	1	1.45602741552736	81.42	61.7	11.38	250	250	1	3.4	3	1	firebrick
Stavudine	1	0.539424742092358	250	1000	20.61	250	200.7	1.2	-0.5	3	1	firebrick
Sudoxicam	1	1.88685401410028	241.55	340.3	250	250	250	1	1.2	3	1	firebrick
Sunitinib	1	1.85003325768977	3.32	59.2	17.73	42.7	45.9	0.9	3	3	-1	firebrick
Suprofen	3	2.04540122299584	250	1000	250	250	250	1	2.5	2	1	darkgoldenrod
Tacrine	2	-1.09857801482411	58.34	1000	140.36	234.5	183.6	1.3	3.3	2	1	darkgoldenrod
Tamoxifen	2	0.128999495941261	3.6	126.1	13.85	68.9	55.9	1.2	6.8	2	1	darkgoldenrod
Ticlopidine	2	0.907127843426337	79.9	86.4	250	238.3	206	1.2	4.4	2	1	darkgoldenrod
Tienilic acid	1	1.91769957476202	250	628.4	250	250	250	1	3.2	3	1	firebrick
Tolcapone	1	1.6773974905265	6.6	103.4	250	182.6	93	2	3.2	3	1	firebrick
Tolmetin	2	2.49268395987911	250	1000	250	250	250	1	2.2	2	1	darkgoldenrod
Troglitazone	1	0.805279054979657	42.71	2.6	100.18	169.9	156.3	1.1	5.6	3	1	firebrick
Verapamil	3	-0.2596913235158	94.83	117.4	142.89	158.6	149	1.1	4.5	2	1	darkgoldenrod
Warfarin	3	1.35608225709613	250	163.9	250	250	250	1	2.9	2	1	darkgoldenrod
Ximelagatran	1	-0.346787486224656	250	258.3	146.26	250	250	1	1.8	3	-1	firebrick
Zileuton	2	1.11791636393483	246.44	1000	246.26	250	250	1	2.5	2	1	darkgoldenrod
Zomepirac	5	1.13707889926709	27.63	322.2	250	250	250	1	2.9	1	1	green4
